category;image;name;price;description
tejidos;img/img1.png;set de jarrones;100;Hecho a mano con lana de oveja y tejida con pigmentos naturales.
joyas;img/img2.png;aretes de arcilla;200;Aretes artesanales en arcilla de estilo étnico, hechos a mano.
cuadros;img/img3.png;suéter gris;300;Suéter gris tejido a mano, ideal para climas fríos.
varios;img/img4.png;zapatos de cuero;400;Zapatos de cuero hechos a mano con diseño clásico y elegante.
tejidos;img/img5.png;pantalón de cuero;500;Pantalón elaborado con cuero de oveja y vaca, hecho a mano.
joyas;img/img6.png;medias tejidas;120;Medias gruesas tejidas con diseño tradicional nórdico.
cuadros;img/img7.png;pulseras étnicas;130;Pulseras artesanales con cuentas de colores y detalles étnicos.
varios;img/img8.png;dinosaurio de peluche;140;Dinosaurio tejido a crochet en hilo verde, 30 cm de altura.
tejidos;img/img9.png;oso de peluche;150;Oso de peluche hecho a mano con hilo de algodón, estilo crochet.
joyas;img/img10.png;accesorio felino;200;Accesorio artesanal con diseño felino y colores cálidos.
cuadros;img/img11.png;plato de barro;300;Plato de barro tradicional, hecho a mano, ideal para decoración o cocina.
varios;img/img12.png;ruana colorida;400;Ruana colorida tejida a mano, prenda tradicional para clima frío.
